t(s),X(m)_A,Y(m)_A,dX/dt(m/s)_A,dY/dt(m/s)_A,X(m)_B,Y(m)_B,dX/dt(m/s)_B,dY/dt(m/s)_B,X(m)_C,Y(m)_C,dX/dt(m/s)_C,dY/dt(m/s)_C,X(m)_D,Y(m)_D,dX/dt(m/s)_D,dY/dt(m/s)_D,X(m)_G,Y(m)_G,dX/dt(m/s)_G,dY/dt(m/s)_G,X(m)_H,Y(m)_H,dX/dt(m/s)_H,dY/dt(m/s)_H,X(m)_I,Y(m)_I,dX/dt(m/s)_I,dY/dt(m/s)_I,X(m)_J,Y(m)_J,dX/dt(m/s)_J,dY/dt(m/s)_J,X(m)_L,Y(m)_L,dX/dt(m/s)_L,dY/dt(m/s)_L,X(m)_M,Y(m)_M,dX/dt(m/s)_M,dY/dt(m/s)_M
19007.4,3009.8706,1864.9909,-10.7026,1.0328,3025.1338,1833.1531,0.6992,9.4391,3023.623,1832.1983,1.1725,9.2769,3020.4108,1833.0676,-0.038,7.7919,3027.3078,1856.6399,-7.8268,6.9922,3027.6096,1828.9311,0.6291,9.8735,3021.8472,1831.5314,0.9845,8.5921,3028.3337,1827.0772,2.8027,9.9731,3029.6544,1828.6826,1.6225,9.9811,3009.5336,1862.3068,-10.679,-0.3638
19007.6,3007.6943,1865.0727,-10.9888,-0.1552,3025.2084,1835.0525,0.0499,9.5644,3023.8061,1834.0597,0.6558,9.3391,3020.3673,1834.6404,-0.3823,7.9455,3025.6986,1857.9985,-8.2262,6.5945,3027.6589,1830.9261,-0.1298,10.0431,3022.001,1833.2699,0.5303,8.7965,3028.8374,1829.0814,2.2008,10.0796,3029.9205,1830.7039,1.0146,10.2095,3007.3911,1862.1728,-10.7249,-0.9405
19007.8,3005.4751,1864.9288,-11.1363,-1.2141,3025.1537,1836.9789,-0.5854,9.6978,3023.8853,1835.9339,0.1316,9.4123,3020.2579,1836.2458,-0.7051,8.1139,3024.0173,1859.2777,-8.5561,6.1869,3027.5577,1832.9483,-0.8606,10.1564,3022.0593,1835.05,0.0357,8.9973,3029.214,1831.109,1.5441,10.2035,3030.0602,1832.7664,0.3529,10.3743,3005.2436,1861.9306,-10.7228,-1.4553
19008.0,3003.2398,1864.587,-11.1719,-2.1365,3024.9743,1838.9316,-1.1956,9.8096,3023.8587,1837.8247,-0.4077,9.5043,3020.0852,1837.886,-1.0301,8.2829,3022.2761,1860.4733,-8.8369,5.7477,3027.3147,1834.9887,-1.5326,10.2457,3022.0153,1836.8688,-0.4836,9.1793,3029.4551,1833.1628,0.857,10.3421,3030.0617,1834.8536,-0.3599,10.4567,3003.102,1861.5907,-10.6709,-1.9067
19008.2,3001.0063,1864.0742,-11.1508,-2.9169,3024.6755,1840.9027,-1.7798,9.8705,3023.7222,1839.7356,-0.9644,9.6098,3019.8459,1839.559,-1.3807,8.4329,3020.4826,1861.5768,-9.0899,5.2652,3026.9447,1837.0466,-2.1149,10.3475,3021.8658,1838.7217,-1.0065,9.3386,3029.5568,1835.2459,0.1565,10.4952,3029.9163,1836.9491,-1.1057,10.4794,3000.9753,1861.1679,-10.5878,-2.2691
19008.4,2998.7795,1863.4203,-11.1375,-3.5255,3024.2624,1842.8798,-2.3439,9.8735,3023.4729,1841.6686,-1.5282,9.7171,3019.533,1841.2591,-1.7714,8.5573,3018.6401,1862.5793,-9.3288,4.749,3026.4687,1839.1277,-2.5903,10.4774,3021.6127,1840.6043,-1.5128,9.4806,3029.5177,1837.3609,-0.5476,10.6541,3029.6194,1839.0454,-1.8618,10.4853,2998.8669,1860.6831,-10.5054,-2.5197
19008.6,2996.5513,1862.664,-11.1813,-3.9113,3023.7379,1844.8521,-2.8964,9.8397,3023.1109,1843.6225,-2.0835,9.8116,3019.1373,1842.9819,-2.2163,8.6659,3016.751,1863.4764,-9.5585,4.2173,3025.9086,1841.2376,-2.9667,10.6196,3021.2607,1842.5139,-1.987,9.6114,3029.3378,1839.5075,-1.2513,10.7979,3029.1715,1841.1433,-2.6076,10.501,2996.7731,1860.16,-10.4482,-2.6629
19008.8,2994.307,1861.8558,-11.3031,-4.0305,3023.1038,1846.8157,-3.4409,9.8021,3022.6395,1845.5932,-2.623,9.8763,3018.6464,1844.7255,-2.7375,8.7636,3014.8168,1864.2663,-9.7786,3.6768,3025.282,1843.3755,-3.2778,10.7385,3020.8179,1844.4488,-2.4259,9.7382,3029.0172,1841.68,-1.9561,10.8998,3028.5763,1843.2458,-3.33,10.5216,2994.6876,1859.6179,-10.4183,-2.7246
19009.0,2992.0301,1861.0518,-11.4948,-3.8784,3022.3616,1848.7729,-3.9711,9.7855,3022.0617,1847.573,-3.1545,9.8964,3018.0423,1846.4873,-3.3562,8.835,3012.8396,1864.9471,-9.9854,3.1217,3024.5975,1845.533,-3.5713,10.803,3020.2904,1846.4092,-2.8468,9.8719,3028.5553,1843.8674,-2.6656,10.9409,3027.8395,1845.3519,-4.0246,10.5257,2992.6058,1859.0701,-10.3965,-2.7296
19009.2,2989.709,1860.3044,-11.7264,-3.5029,3021.5154,1850.7299,-4.4719999999999995,9.7997,3021.3778,1849.5518,-3.6932,9.8681,3017.3039,1848.2595,-4.0671,8.8547,3010.8226,1865.5149,-10.1762,2.5566,3023.8535,1847.6968,-3.8914,10.8092,3019.6791,1848.3976,-3.2821,10.0183,3027.9509,1846.0564,-3.3796,10.9211,3026.9665,1847.4561,-4.6962,10.5021,2990.5289,1858.5261,-10.36,-2.6886
